,country,country_code,year,GDP_value,HDI_value,tot_pop,tot_medal,medal_tiers,HDI_ranking,Ranking
119,Austria,AUT,2008,430000000000.0,0.893,8321496,3,1-25,Very high,Not top ten
120,Austria,AUT,2010,392000000000.0,0.904,8363404,26,26-50,Very high,Not top ten
121,Austria,AUT,2012,409000000000.0,0.908,8429991,0,No medals,Very high,Not top ten
122,Austria,AUT,2014,442000000000.0,0.913,8546356,27,26-50,Very high,Not top ten
123,Austria,AUT,2016,391000000000.0,0.917,8736668,2,1-25,Very high,Not top ten
124,Azerbaijan,AZE,1992,4991350458.0,0.685,7382050,0,No medals,Medium,Not top ten
125,Azerbaijan,AZE,1994,3313739674.0,0.685,7596550,0,No medals,Medium,Not top ten
126,Azerbaijan,AZE,1996,3176749593.0,0.605,7763000,1,1-25,Medium,Not top ten
127,Azerbaijan,AZE,1998,4446396218.0,0.619,7913000,0,No medals,Medium,Not top ten
128,Azerbaijan,AZE,2000,5272617196.0,0.635,8048600,3,1-25,Medium,Not top ten
129,Azerbaijan,AZE,2002,6235795104.0,0.651,8171950,0,No medals,Medium,Not top ten
130,Azerbaijan,AZE,2004,8680472169.0,0.667,8306500,5,1-25,Medium,Not top ten
131,Azerbaijan,AZE,2006,20983019924.0,0.701,8484550,0,No medals,High,Not top ten
132,Azerbaijan,AZE,2008,48852482960.0,0.716,8763400,7,1-25,High,Not top ten
133,Azerbaijan,AZE,2010,52902703376.0,0.726,9054332,0,No medals,High,Not top ten
134,Azerbaijan,AZE,2012,69684317719.0,0.73,9295784,1,1-25,High,Not top ten
135,Azerbaijan,AZE,2014,75244166773.0,0.74,9535079,0,No medals,High,Not top ten
136,Azerbaijan,AZE,2016,37847715736.0,0.751,9757812,2,1-25,High,Not top ten
137,Bahamas,BHS,1992,3109000000.0,0.803,266028,1,1-25,Very high,Not top ten
138,Bahamas,BHS,1994,3259000000.0,0.803,275849,0,No medals,Very high,Not top ten
139,Bahamas,BHS,1996,3609000000.0,0.803,283980,5,1-25,Very high,Not top ten
140,Bahamas,BHS,1998,5353524000.0,0.803,290600,0,No medals,Very high,Not top ten
141,Bahamas,BHS,2000,6327552000.0,0.797,298045,11,1-25,Very high,Not top ten
142,Bahamas,BHS,2002,6957996000.0,0.8,307657,0,No medals,Very high,Not top ten
143,Bahamas,BHS,2004,7094413000.0,0.8,318893,2,1-25,Very high,Not top ten
144,Bahamas,BHS,2006,7965588000.0,0.804,331032,0,No medals,Very high,Not top ten
145,Bahamas,BHS,2008,8247000000.0,0.804,343680,7,1-25,Very high,Not top ten
146,Bahamas,BHS,2010,7910000000.0,0.805,354936,0,No medals,Very high,Not top ten
147,Bahamas,BHS,2012,10720500000.0,0.807,363581,4,1-25,Very high,Not top ten
148,Bahamas,BHS,2014,10843800000.0,0.805,370625,0,No medals,Very high,Not top ten
149,Bahamas,BHS,2016,11261800000.0,0.81,377923,6,1-25,Very high,Not top ten
150,Bahrain,BHR,1992,4751063830.0,0.76,523082,0,No medals,High,Not top ten
151,Bahrain,BHR,1994,5567553457.0,0.772,549590,0,No medals,High,Not top ten
152,Bahrain,BHR,1996,6101861436.0,0.782,578661,0,No medals,High,Not top ten
153,Bahrain,BHR,1998,6183776596.0,0.787,613697,0,No medals,High,Not top ten
154,Bahrain,BHR,2000,9062906915.0,0.795,664610,0,No medals,Very high,Not top ten
155,Bahrain,BHR,2002,9632155053.0,0.795,735140,0,No medals,Very high,Not top ten
156,Bahrain,BHR,2004,13150166755.0,0.796,829846,0,No medals,Very high,Not top ten
157,Bahrain,BHR,2006,18505053191.0,0.797,958423,0,No medals,Very high,Not top ten
158,Bahrain,BHR,2008,25710877660.0,0.8,1114645,0,No medals,Very high,Not top ten
159,Bahrain,BHR,2010,25713271277.0,0.8,1240864,0,No medals,Very high,Not top ten
160,Bahrain,BHR,2012,30749308511.0,0.808,1299942,1,1-25,Very high,Not top ten
161,Bahrain,BHR,2014,33387712766.0,0.82,1336073,0,No medals,Very high,Not top ten
162,Bahrain,BHR,2016,32179069149.0,0.853,1425793,2,1-25,Very high,Not top ten
163,Bangladesh,BGD,1992,31708873955.0,0.41,107983708,0,No medals,Low,Not top ten
164,Bangladesh,BGD,1994,33768662171.0,0.426,112737684,0,No medals,Low,Not top ten
165,Bangladesh,BGD,1996,46438482370.0,0.443,117649927,0,No medals,Low,Not top ten
166,Bangladesh,BGD,1998,49984559471.0,0.461,122682818,0,No medals,Low,Not top ten
167,Bangladesh,BGD,2000,53369787319.0,0.478,127657862,0,No medals,Low,Not top ten
168,Bangladesh,BGD,2002,54724081491.0,0.492,132478077,0,No medals,Low,Not top ten
169,Bangladesh,BGD,2004,65108544250.0,0.506,136986429,0,No medals,Low,Not top ten
170,Bangladesh,BGD,2006,71819083684.0,0.521,140921154,0,No medals,Low,Not top ten
171,Bangladesh,BGD,2008,91631278239.0,0.531,144304164,0,No medals,Low,Not top ten
172,Bangladesh,BGD,2010,115000000000.0,0.557,147575433,0,No medals,Medium,Not top ten
173,Bangladesh,BGD,2012,133000000000.0,0.575,151005733,0,No medals,Medium,Not top ten
174,Bangladesh,BGD,2014,173000000000.0,0.579,154517385,0,No medals,Medium,Not top ten
175,Bangladesh,BGD,2016,221000000000.0,0.606,157977151,0,No medals,Medium,Not top ten
176,Barbados,BRB,1992,1950900000.0,0.733,262890,0,No medals,High,Not top ten
177,Barbados,BRB,1994,2151295182.0,0.742,264893,0,No medals,High,Not top ten
178,Barbados,BRB,1996,2411872918.0,0.751,267047,0,No medals,High,Not top ten
179,Barbados,BRB,1998,2874459305.0,0.753,269334,0,No medals,High,Not top ten
180,Barbados,BRB,2000,3121500000.0,0.771,271511,1,1-25,High,Not top ten
181,Barbados,BRB,2002,3169600000.0,0.774,273423,0,No medals,High,Not top ten
182,Barbados,BRB,2004,3514350000.0,0.782,275283,0,No medals,High,Not top ten
183,Barbados,BRB,2006,4246600000.0,0.791,277475,0,No medals,Very high,Not top ten
184,Barbados,BRB,2008,4607300000.0,0.8,279946,0,No medals,Very high,Not top ten
185,Barbados,BRB,2010,4461650000.0,0.797,282131,0,No medals,Very high,Not top ten
186,Barbados,BRB,2012,4656350000.0,0.808,283698,0,No medals,Very high,Not top ten
187,Barbados,BRB,2014,4608350000.0,0.808,284825,0,No medals,Very high,Not top ten
188,Barbados,BRB,2016,4529050000.0,0.811,285798,0,No medals,Very high,Not top ten
189,Belarus,BLR,1992,17120370370.0,0.741,10216470,0,No medals,High,Not top ten
190,Belarus,BLR,1994,14932192011.0,0.74,10226955,2,1-25,High,Not top ten
191,Belarus,BLR,1996,14756861538.0,0.664,10159569,23,1-25,Medium,Not top ten
192,Belarus,BLR,1998,15222014828.0,0.674,10071963,2,1-25,Medium,Not top ten
193,Belarus,BLR,2000,12736856828.0,0.686,9979610,22,1-25,Medium,Not top ten
194,Belarus,BLR,2002,14594925393.0,0.699,9865548,1,1-25,Medium,Not top ten
195,Belarus,BLR,2004,23141587718.0,0.717,9730146,15,1-25,High,Not top ten
196,Belarus,BLR,2006,36961821894.0,0.744,9604924,1,1-25,High,Not top ten
197,Belarus,BLR,2008,60763483146.0,0.777,9527985,29,26-50,High,Not top ten
198,Belarus,BLR,2010,57222490769.0,0.795,9483836,3,1-25,Very high,Not top ten
199,Belarus,BLR,2012,65685102555.0,0.806,9446836,23,1-25,Very high,Not top ten
200,Belarus,BLR,2014,78813839984.0,0.814,9448515,6,1-25,Very high,Not top ten
201,Belarus,BLR,2016,47407217531.0,0.815,9469379,12,1-25,Very high,Not top ten
202,Belgium,BEL,1992,236000000000.0,0.832,10045158,3,1-25,Very high,Not top ten
203,Belgium,BEL,1994,246000000000.0,0.852,10115603,0,No medals,Very high,Not top ten
204,Belgium,BEL,1996,281000000000.0,0.864,10156637,6,1-25,Very high,Not top ten
205,Belgium,BEL,1998,261000000000.0,0.873,10203008,1,1-25,Very high,Not top ten
206,Belgium,BEL,2000,238000000000.0,0.88,10251250,7,1-25,Very high,Not top ten
207,Belgium,BEL,2002,259000000000.0,0.886,10332785,0,No medals,Very high,Not top ten
208,Belgium,BEL,2004,371000000000.0,0.893,10421137,3,1-25,Very high,Not top ten
209,Belgium,BEL,2006,410000000000.0,0.904,10547958,0,No medals,Very high,Not top ten
210,Belgium,BEL,2008,519000000000.0,0.906,10709973,5,1-25,Very high,Not top ten
211,Belgium,BEL,2010,484000000000.0,0.91,10895586,0,No medals,Very high,Not top ten
212,Belgium,BEL,2012,498000000000.0,0.913,11106932,3,1-25,Very high,Not top ten
213,Belgium,BEL,2014,531000000000.0,0.918,11209057,0,No medals,Very high,Not top ten
214,Belgium,BEL,2016,468000000000.0,0.924,11331422,21,1-25,Very high,Not top ten
215,Belize,BLZ,1992,518239100.0,0.621,194324,0,No medals,Medium,Not top ten
216,Belize,BLZ,1994,580863700.0,0.623,201679,0,No medals,Medium,Not top ten
217,Belize,BLZ,1996,641383800.0,0.624,213660,0,No medals,Medium,Not top ten
218,Belize,BLZ,1998,688992450.0,0.628,230248,0,No medals,Medium,Not top ten
219,Belize,BLZ,2000,832072450.0,0.64,247310,0,No medals,Medium,Not top ten
220,Belize,BLZ,2002,932551850.0,0.651,262387,0,No medals,Medium,Not top ten
221,Belize,BLZ,2004,1057845500.0,0.665,276516,0,No medals,Medium,Not top ten
222,Belize,BLZ,2006,1217467600.0,0.672,291338,0,No medals,Medium,Not top ten
223,Belize,BLZ,2008,1368625150.0,0.679,306822,0,No medals,Medium,Not top ten
224,Belize,BLZ,2010,1397113450.0,0.695,322465,0,No medals,Medium,Not top ten
225,Belize,BLZ,2012,1573618750.0,0.701,338001,0,No medals,High,Not top ten
226,Belize,BLZ,2014,1706497950.0,0.705,353366,0,No medals,High,Not top ten
227,Belize,BLZ,2016,1741100000.0,0.717,368399,0,No medals,High,Not top ten
228,Benin,BEN,1992,1695315306.0,0.375,5331805,0,No medals,Low,Not top ten
229,Benin,BEN,1994,1598075932.0,0.386,5714215,0,No medals,Low,Not top ten
230,Benin,BEN,1996,2361116588.0,0.394,6094272,0,No medals,Low,Not top ten
231,Benin,BEN,1998,2455092582.0,0.403,6470275,0,No medals,Low,Not top ten
232,Benin,BEN,2000,2569186643.0,0.416,6865946,0,No medals,Low,Not top ten
233,Benin,BEN,2002,3054571082.0,0.438,7295400,0,No medals,Low,Not top ten
234,Benin,BEN,2004,4521424807.0,0.453,7750003,0,No medals,Low,Not top ten
235,Benin,BEN,2006,5142380779.0,0.467,8216893,0,No medals,Low,Not top ten
236,Benin,BEN,2008,7132787397.0,0.482,8696915,0,No medals,Low,Not top ten
237,Benin,BEN,2010,6970240895.0,0.494,9199254,0,No medals,Low,Not top ten
238,Benin,BEN,2012,8152554487.0,0.51,9729254,0,No medals,Low,Not top ten
239,Benin,BEN,2014,9707432016.0,0.527,10286839,0,No medals,Low,Not top ten
240,Benin,BEN,2016,8583031398.0,0.533,10872072,0,No medals,Low,Not top ten
241,Bhutan,BTN,1992,250794360.0,0.579,534525,0,No medals,Medium,Not top ten
242,Bhutan,BTN,1994,270801565.0,0.579,531905,0,No medals,Medium,Not top ten
243,Bhutan,BTN,1996,316420861.0,0.579,541471,0,No medals,Medium,Not top ten
244,Bhutan,BTN,1998,376955087.0,0.579,564378,0,No medals,Medium,Not top ten
245,Bhutan,BTN,2000,439158233.0,0.579,591014,0,No medals,Medium,Not top ten
246,Bhutan,BTN,2002,537050134.0,0.579,616025,0,No medals,Medium,Not top ten
247,Bhutan,BTN,2004,702682019.0,0.579,638809,0,No medals,Medium,Not top ten
248,Bhutan,BTN,2006,897731525.0,0.526,657404,0,No medals,Low,Not top ten
249,Bhutan,BTN,2008,1258332337.0,0.551,671611,0,No medals,Medium,Not top ten
250,Bhutan,BTN,2010,1585472534.0,0.574,685502,0,No medals,Medium,Not top ten
251,Bhutan,BTN,2012,1823692110.0,0.597,701582,0,No medals,Medium,Not top ten
252,Bhutan,BTN,2014,1944782821.0,0.618,719053,0,No medals,Medium,Not top ten
253,Bhutan,BTN,2016,2212638830.0,0.637,736706,0,No medals,Medium,Not top ten
254,Bolivia,BOL,1992,5643893347.0,0.566,7160917,0,No medals,Medium,Not top ten
255,Bolivia,BOL,1994,5981244887.0,0.581,7466792,0,No medals,Medium,Not top ten
256,Bolivia,BOL,1996,7396966657.0,0.595,7779268,0,No medals,Medium,Not top ten
257,Bolivia,BOL,1998,8497545598.0,0.61,8096761,0,No medals,Medium,Not top ten
258,Bolivia,BOL,2000,8397912509.0,0.627,8418270,0,No medals,Medium,Not top ten
259,Bolivia,BOL,2002,7905485216.0,0.637,8742822,0,No medals,Medium,Not top ten
260,Bolivia,BOL,2004,8773451739.0,0.641,9069044,0,No medals,Medium,Not top ten
261,Bolivia,BOL,2006,11451869165.0,0.649,9395449,0,No medals,Medium,Not top ten
262,Bolivia,BOL,2008,16674324634.0,0.658,9721457,0,No medals,Medium,Not top ten
263,Bolivia,BOL,2010,19649631308.0,0.667,10048597,0,No medals,Medium,Not top ten
264,Bolivia,BOL,2012,27084497540.0,0.675,10377677,0,No medals,Medium,Not top ten
265,Bolivia,BOL,2014,32996187988.0,0.69,10706517,0,No medals,Medium,Not top ten
266,Bolivia,BOL,2016,33806395514.0,0.702,11031822,0,No medals,High,Not top ten
267,Bosnia and Herzegovina,BIH,1994,1255802469.0,0.722,3936527,0,No medals,High,Not top ten
268,Bosnia and Herzegovina,BIH,1996,2786045322.0,0.722,3764419,0,No medals,High,Not top ten
269,Bosnia and Herzegovina,BIH,1998,4116699437.0,0.722,3734338,0,No medals,High,Not top ten
270,Bosnia and Herzegovina,BIH,2000,5505984456.0,0.679,3751176,0,No medals,Medium,Not top ten
271,Bosnia and Herzegovina,BIH,2002,6651226179.0,0.689,3759389,0,No medals,Medium,Not top ten
272,Bosnia and Herzegovina,BIH,2004,10022840635.0,0.701,3764194,0,No medals,High,Not top ten
273,Bosnia and Herzegovina,BIH,2006,12866524918.0,0.712,3765422,0,No medals,High,Not top ten
274,Bosnia and Herzegovina,BIH,2008,19112739664.0,0.726,3754261,0,No medals,High,Not top ten
275,Bosnia and Herzegovina,BIH,2010,17176781337.0,0.721,3705478,0,No medals,High,Not top ten
276,Bosnia and Herzegovina,BIH,2012,17226849297.0,0.748,3604972,0,No medals,High,Not top ten
277,Bosnia and Herzegovina,BIH,2014,18558343508.0,0.758,3482106,0,No medals,High,Not top ten
278,Bosnia and Herzegovina,BIH,2016,16910277134.0,0.772,3386263,0,No medals,High,Not top ten
279,Botswana,BWA,1992,4146513722.0,0.577,1363541,0,No medals,Medium,Not top ten
280,Botswana,BWA,1994,4259330999.0,0.57,1434061,0,No medals,Medium,Not top ten
281,Botswana,BWA,1996,4847752843.0,0.575,1504724,0,No medals,Medium,Not top ten
282,Botswana,BWA,1998,4790458837.0,0.58,1575827,0,No medals,Medium,Not top ten
283,Botswana,BWA,2000,5788329609.0,0.581,1643333,0,No medals,Medium,Not top ten
284,Botswana,BWA,2002,5438857107.0,0.579,1704637,0,No medals,Medium,Not top ten
285,Botswana,BWA,2004,8957467707.0,0.592,1765533,0,No medals,Medium,Not top ten
286,Botswana,BWA,2006,10126940513.0,0.615,1835911,0,No medals,Medium,Not top ten
287,Botswana,BWA,2008,10945070442.0,0.641,1915636,0,No medals,Medium,Not top ten
288,Botswana,BWA,2010,12786654366.0,0.663,1987106,0,No medals,Medium,Not top ten
289,Botswana,BWA,2012,14686278707.0,0.689,2039551,1,1-25,Medium,Not top ten
290,Botswana,BWA,2014,16259445053.0,0.711,2088619,0,No medals,High,Not top ten
291,Botswana,BWA,2016,15581137274.0,0.72,2159925,0,No medals,High,Not top ten
292,Brazil,BRA,1992,401000000000.0,0.627,154259382,14,1-25,Medium,Not top ten
293,Brazil,BRA,1994,558000000000.0,0.642,159432717,0,No medals,Medium,Not top ten
294,Brazil,BRA,1996,850000000000.0,0.658,164614682,63,51-75,Medium,Not top ten
295,Brazil,BRA,1998,864000000000.0,0.67,169785253,0,No medals,Medium,Not top ten
296,Brazil,BRA,2000,655000000000.0,0.685,174790339,48,26-50,Medium,Not top ten
297,Brazil,BRA,2002,508000000000.0,0.699,179537523,0,No medals,Medium,Not top ten
298,Brazil,BRA,2004,669000000000.0,0.698,184006479,4,1-25,Medium,Not top ten
299,Brazil,BRA,2006,1110000000000.0,0.702,188167353,0,No medals,High,Not top ten
300,Brazil,BRA,2008,1700000000000.0,0.717,192030362,78,76-100,High,Not top ten
301,Brazil,BRA,2010,2210000000000.0,0.727,195713637,0,No medals,High,Not top ten
302,Brazil,BRA,2012,2470000000000.0,0.735,199287292,59,51-75,High,Not top ten
303,Brazil,BRA,2014,2460000000000.0,0.756,202763744,0,No medals,High,Not top ten
304,Brazil,BRA,2016,1800000000000.0,0.758,206163056,5,1-25,High,Not top ten
305,Brunei ,BRN,1992,4183548189.0,0.777,273888,0,No medals,High,Not top ten
306,Brunei ,BRN,1994,4087337960.0,0.786,289452,0,No medals,High,Not top ten
307,Brunei ,BRN,1996,5115602837.0,0.793,304620,0,No medals,Very high,Not top ten
308,Brunei ,BRN,1998,4051147228.0,0.794,319135,0,No medals,Very high,Not top ten
309,Brunei ,BRN,2000,6001153306.0,0.802,333166,0,No medals,Very high,Not top ten
